aligned_effect,alpha,base_ordered_score,basis_domain,basis_train_kind,basis_train_n_items,basis_train_n_pairs,basis_train_n_prompts,delta_domain,delta_norm,direction_match,effect,expected_sign,full_size_aligned_effect,layer,match_abs_error,match_mode,max_principal_angle_deg,method,patch_site,patched_entropy,patched_ordered_score,projected_delta_norm,projected_norm_fraction,rank,recovery_vs_size_full,repeat,size_delta_raw,size_delta_z,size_direction,size_donor_side,size_pair_id,size_recv_side,source_match_delta_raw,source_match_delta_z,source_match_direction,source_match_domain,source_match_pair_id,subspace_overlap_with_size
0.007959758016350182,1.0,1.260793807928984,size_in_domain,state_prompts,62,51,62,size,951.3394165039062,1,0.007959758016350182,1.0,-0.0050224498328772516,20,0.0572717319074324,domain_z,0.0,size_basis_pca,final_prompt_token,0.6179341404647547,1.2687535659453342,348.4584045410156,0.3662818952898761,5,-1.5848357437530065,0,0.6931471805599453,0.7311330202095789,a_to_b,a,size-v2-iso_ratio-p0045-Scale_class_60_objects-vs-Scale_class_120_objects,b,45.0,0.6738612883021465,b_to_a,temperature,temp-v1_2-m030-swimming_pool_water-vs-freezer_air,1.0
-0.02471406677592558,1.0,1.1503897770775509,size_in_domain,state_prompts,62,51,62,size,951.3394165039062,0,0.02471406677592558,-1.0,-0.02471406677592558,20,0.0572717319074324,domain_z,0.0,full_size,final_prompt_token,0.4878820898872658,1.1751038438534764,951.3394165039062,1.0,2560,1.0,0,-0.6931471805599453,-0.7311330202095789,b_to_a,b,size-v2-iso_ratio-p0045-Scale_class_60_objects-vs-Scale_class_120_objects,a,-45.0,-0.6738612883021465,a_to_b,temperature,temp-v1_2-m030-swimming_pool_water-vs-freezer_air,1.0
-0.0,1.0,1.1503897770775509,size_in_domain,state_prompts,62,51,62,size,0.0,0,0.0,-1.0,-0.02471406677592558,20,0.0572717319074324,domain_z,0.0,sham,final_prompt_token,0.4431666060313155,1.1503897770775509,0.0,0.0,0,0.0,0,-0.6931471805599453,-0.7311330202095789,b_to_a,b,size-v2-iso_ratio-p0045-Scale_class_60_objects-vs-Scale_class_120_objects,a,-45.0,-0.6738612883021465,a_to_b,temperature,temp-v1_2-m030-swimming_pool_water-vs-freezer_air,1.0
-0.000604362805320946,1.0,1.1503897770775509,size_in_domain,state_prompts,62,51,62,size,951.3394165039062,0,0.000604362805320946,-1.0,-0.02471406677592558,20,0.0572717319074324,domain_z,0.0,size_basis_pca,final_prompt_token,0.44289607304039397,1.1509941398828718,348.4584045410156,0.3662818952898761,5,0.024454202976811033,0,-0.6931471805599453,-0.7311330202095789,b_to_a,b,size-v2-iso_ratio-p0045-Scale_class_60_objects-vs-Scale_class_120_objects,a,-45.0,-0.6738612883021465,a_to_b,temperature,temp-v1_2-m030-swimming_pool_water-vs-freezer_air,1.0
0.27489270881802397,1.0,1.4880887896397976,size_in_domain,state_prompts,62,51,62,size,855.0486450195312,1,-0.27489270881802397,-1.0,0.27489270881802397,20,0.05727173190743273,domain_z,0.0,full_size,final_prompt_token,0.546374140844091,1.2131960808217737,855.0486450195312,1.0,2560,1.0,0,-0.6931471805599453,-0.7311330202095792,a_to_b,a,size-v2-iso_ratio-p0045-Scale_class_60_objects-vs-Scale_class_30_objects,b,-45.0,-0.6738612883021464,b_to_a,temperature,temp-v1_2-m010-freezer_air-vs-swimming_pool_water,1.0
-0.0,1.0,1.4880887896397976,size_in_domain,state_prompts,62,51,62,size,0.0,0,0.0,-1.0,0.27489270881802397,20,0.05727173190743273,domain_z,0.0,sham,final_prompt_token,0.7569959788413058,1.4880887896397976,0.0,0.0,0,-0.0,0,-0.6931471805599453,-0.7311330202095792,a_to_b,a,size-v2-iso_ratio-p0045-Scale_class_60_objects-vs-Scale_class_30_objects,b,-45.0,-0.6738612883021464,b_to_a,temperature,temp-v1_2-m010-freezer_air-vs-swimming_pool_water,1.0
0.2572489165553884,1.0,1.4880887896397976,size_in_domain,state_prompts,62,51,62,size,855.0486450195312,1,-0.2572489165553884,-1.0,0.27489270881802397,20,0.05727173190743273,domain_z,0.0,size_basis_pca,final_prompt_token,0.5739927877815145,1.2308398730844092,557.0589599609375,0.6514938807349528,5,0.9358157139252625,0,-0.6931471805599453,-0.7311330202095792,a_to_b,a,size-v2-iso_ratio-p0045-Scale_class_60_objects-vs-Scale_class_30_objects,b,-45.0,-0.6738612883021464,b_to_a,temperature,temp-v1_2-m010-freezer_air-vs-swimming_pool_water,1.0
0.2279824318898349,1.0,1.1503897770775509,size_in_domain,state_prompts,62,51,62,size,855.0486450195312,1,0.2279824318898349,1.0,0.2279824318898349,20,0.05727173190743273,domain_z,0.0,full_size,final_prompt_token,0.7078967481400462,1.3783722089673858,855.0486450195312,1.0,2560,1.0,0,0.6931471805599453,0.7311330202095792,b_to_a,b,size-v2-iso_ratio-p0045-Scale_class_60_objects-vs-Scale_class_30_objects,a,45.0,0.6738612883021464,a_to_b,temperature,temp-v1_2-m010-freezer_air-vs-swimming_pool_water,1.0
0.0,1.0,1.1503897770775509,size_in_domain,state_prompts,62,51,62,size,0.0,0,0.0,1.0,0.2279824318898349,20,0.05727173190743273,domain_z,0.0,sham,final_prompt_token,0.4431666060313155,1.1503897770775509,0.0,0.0,0,0.0,0,0.6931471805599453,0.7311330202095792,b_to_a,b,size-v2-iso_ratio-p0045-Scale_class_60_objects-vs-Scale_class_30_objects,a,45.0,0.6738612883021464,a_to_b,temperature,temp-v1_2-m010-freezer_air-vs-swimming_pool_water,1.0
0.23668966395189117,1.0,1.1503897770775509,size_in_domain,state_prompts,62,51,62,size,855.0486450195312,1,0.23668966395189117,1.0,0.2279824318898349,20,0.05727173190743273,domain_z,0.0,size_basis_pca,final_prompt_token,0.7086725247923306,1.387079441029442,557.0589599609375,0.6514938807349528,5,1.0381925571627544,0,0.6931471805599453,0.7311330202095792,b_to_a,b,size-v2-iso_ratio-p0045-Scale_class_60_objects-vs-Scale_class_30_objects,a,45.0,0.6738612883021464,a_to_b,temperature,temp-v1_2-m010-freezer_air-vs-swimming_pool_water,1.0
0.24074628310387824,1.0,1.4356069447348225,size_in_domain,state_prompts,62,51,62,size,1317.1561279296875,1,-0.24074628310387824,-1.0,0.24074628310387824,20,0.0052540985499607284,domain_z,0.0,full_size,final_prompt_token,0.5309261461868312,1.1948606616309443,1317.1561279296875,1.0,2560,1.0,0,-1.3862943611198906,-1.462266040419158,a_to_b,a,size-v2-iso_ratio-p0060-Scale_class_120_objects-vs-Scale_class_30_objects,b,-98.0,-1.4675201389691188,a_to_b,temperature,temp-v1_2-p045-freshly_served_tea-vs-freezer_air,1.0
-0.0,1.0,1.4356069447348225,size_in_domain,state_prompts,62,51,62,size,0.0,0,0.0,-1.0,0.24074628310387824,20,0.0052540985499607284,domain_z,0.0,sham,final_prompt_token,0.7516700396371012,1.4356069447348225,0.0,0.0,0,-0.0,0,-1.3862943611198906,-1.462266040419158,a_to_b,a,size-v2-iso_ratio-p0060-Scale_class_120_objects-vs-Scale_class_30_objects,b,-98.0,-1.4675201389691188,a_to_b,temperature,temp-v1_2-p045-freshly_served_tea-vs-freezer_air,1.0
0.28179364480606717,1.0,1.4356069447348225,size_in_domain,state_prompts,62,51,62,size,1317.1561279296875,1,-0.28179364480606717,-1.0,0.24074628310387824,20,0.0052540985499607284,domain_z,0.0,size_basis_pca,final_prompt_token,0.4597010435252247,1.1538132999287554,952.7647094726562,0.7233498666329075,5,1.1705005002485445,0,-1.3862943611198906,-1.462266040419158,a_to_b,a,size-v2-iso_ratio-p0060-Scale_class_120_objects-vs-Scale_class_30_objects,b,-98.0,-1.4675201389691188,a_to_b,temperature,temp-v1_2-p045-freshly_served_tea-vs-freezer_air,1.0
