abs_delta_rho,aligned_effect,bin,bin_hi,bin_lo,direction,direction_match,full_aligned_effect,pair_id,patch_fraction,recovery_vs_full,transfer_direction
1.3862943611198906,0.024864410320754482,2,2.0794415416798357,1.3862943611198906,b_to_a,1,0.011845983294140883,size-v2-iso_ratio-p0180-Scale_class_30_objects-vs-Scale_class_120_objects,0.32053552388130574,2.0989739478235308,fictional_to_iso
2.0794415416798357,0.22941056266264193,3,3.828641396489095,2.0794415416798357,a_to_b,1,0.24072900577518208,size-v2-iso_ratio-p0180-Scale_class_240_objects-vs-Scale_class_30_objects,1.8152126776103759,0.9529826367367192,fictional_to_iso
2.0794415416798357,0.27345575044528125,3,3.828641396489095,2.0794415416798357,b_to_a,1,0.2894938110923251,size-v2-iso_ratio-p0180-Scale_class_240_objects-vs-Scale_class_30_objects,2.1637205332331724,0.9445996424361245,fictional_to_iso
0.6931471805599454,0.053167625778262284,1,1.3862943611198906,0.26570316573300556,a_to_b,1,0.06375903423671492,size-v2-iso_ratio-p0180-Scale_class_60_objects-vs-Scale_class_120_objects,1.1066403547429997,0.8338838003861468,fictional_to_iso
0.6931471805599454,0.049979329055845456,1,1.3862943611198906,0.26570316573300556,b_to_a,1,0.06765878565305528,size-v2-iso_ratio-p0180-Scale_class_60_objects-vs-Scale_class_120_objects,1.0402785835660016,0.7386968088982917,fictional_to_iso
1.3862943611198908,0.2749599521696804,2,2.0794415416798357,1.3862943611198906,a_to_b,1,0.31059781608552384,size-v2-iso_ratio-p0180-Scale_class_240_objects-vs-Scale_class_60_objects,1.0911202818332084,0.8852604169437223,fictional_to_iso
1.3862943611198908,0.3087443604249429,2,2.0794415416798357,1.3862943611198906,b_to_a,1,0.3495105708876116,size-v2-iso_ratio-p0180-Scale_class_240_objects-vs-Scale_class_60_objects,1.2251865440876542,0.8833620100269372,fictional_to_iso
0.6931471805599453,0.2463349770360197,1,1.3862943611198906,0.26570316573300556,a_to_b,1,0.2670307646301189,size-v2-iso_ratio-p0180-Scale_class_120_objects-vs-Scale_class_240_objects,1.2077987540211188,0.9224966171116418,fictional_to_iso
0.6931471805599453,0.23081158672422486,1,1.3862943611198906,0.26570316573300556,b_to_a,1,0.23240731217374178,size-v2-iso_ratio-p0180-Scale_class_120_objects-vs-Scale_class_240_objects,1.1316864142212057,0.993133927523227,fictional_to_iso
2.079441541679836,0.04065549181384087,3,3.828641396489095,2.0794415416798357,a_to_b,1,0.034748899511880094,size-v2-iso_ratio-p0360-Scale_class_240_objects-vs-Scale_class_30_objects,0.26356404698240743,1.1699792622192657,fictional_to_iso
